Sentence Number,Word Count,Common Word Count,Uncommon Word Count,Uncommon Length Ratio,Uncommon Common Ratio,Article Position,Uncommon Score
17,31,12,17,0.5483870967741935,1.4166666666666667,50.0,60
14,33,13,19,0.5757575757575758,1.4615384615384615,41.17647058823529,54
19,26,12,13,0.5,1.0833333333333333,55.88235294117647,46
28,33,16,16,0.48484848484848486,1.0,82.35294117647058,44
20,31,13,17,0.5483870967741935,1.3076923076923077,58.82352941176471,44
23,39,24,13,0.3333333333333333,0.5416666666666666,67.64705882352942,31
27,23,11,11,0.4782608695652174,1.0,79.41176470588235,28
10,34,18,15,0.4411764705882353,0.8333333333333334,29.411764705882355,27
5,29,12,15,0.5172413793103449,1.25,14.705882352941178,27
9,21,7,13,0.6190476190476191,1.8571428571428572,26.47058823529412,26
32,17,7,10,0.5882352941176471,1.4285714285714286,94.11764705882352,25
6,36,19,16,0.4444444444444444,0.8421052631578947,17.647058823529413,25
26,19,10,8,0.42105263157894735,0.8,76.47058823529412,24
15,19,8,10,0.5263157894736842,1.25,44.11764705882353,23
21,21,9,11,0.5238095238095238,1.2222222222222223,61.76470588235294,21
18,13,4,8,0.6153846153846154,2.0,52.94117647058824,21
29,18,7,9,0.5,1.2857142857142858,85.29411764705883,19
8,26,12,14,0.5384615384615384,1.1666666666666667,23.52941176470588,19
1,11,5,6,0.5454545454545454,1.2,2.941176470588235,18
